id,restaurant_name
18405613,Se'i Sapi Lamalera
18387801,Martabak Nikmat Andir
18403125,Gormeteria
18387855,Miss Bee Providore
18477915,Ambrogio Patisserie
18390066,Mom's Bakery
18387851,One Eighty Coffee
18399816,Bellamie Boulangerie
18405536,Musouya
18474967,Nasi Campur 88
18624644,Kintan Buffet
18389888,Dapoer Pandan Wangi
18389279,Armor Kopi
18389120,Cafe D'Pakar
18387827,Hummingbird Eatery
18400779,Morgy Coffee
18387777,Roti Gempol
18387773,Blue Doors
18389872,Dapur Dahapati
18389216,Rumah Makan Malah Dicubo
18602626,Gyu-Kaku Japanese BBQ
18619623,Gyu-Kaku Japanese BBQ
18645902,Kopi Toko Djawa
18387807,Saka Bistro & Bar
18389868,Braga Permai Resto
18389161,Shabu Hachi
18699140,Hara - Kollektiv Hotel
18389972,Mie Baso Akung
18387776,Rasa Bakery & Cafe
18389097,Golden Chopsticks
18602626,Gyu-Kaku Japanese BBQ
18619623,Gyu-Kaku Japanese BBQ
18645902,Kopi Toko Djawa
18387807,Saka Bistro & Bar
18389868,Braga Permai Resto
18389161,Shabu Hachi
18699140,Hara - Kollektiv Hotel
18389972,Mie Baso Akung
18387776,Rasa Bakery & Cafe
18389097,Golden Chopsticks
18387787,Warung Lela
18404729,The Restaurant - Padma Hotel
18403010,Sushi Tei
18399726,Sushi Tei
18462217,Eastern
18404792,Sydwic
18400530,Noah's Barn Coffeenery
18387864,Congo Gallery & Cafe
18390031,Mie Rica Kejaksaan
18609519,Akasya Teras
18387796,Wiki Koffie
18405436,Bilbao Brasserie
18592959,Shabu Kojo
18405783,Justus Steak House
18051521,Let's Go Gelato
18476258,Yumaju Coffee
19030956,Hachi Grill
18389895,Baker Street
18389902,Nanny's Pavillon
18387815,Kehidupan Tidak Pernah Berakhir
18390011,Brother Jonn & Sons
18390540,Sari Sari
18404863,Bebek Om Aris
18387757,Maxi's Resto
18505909,Cha Ra Da Korean BBQ
18453279,Kineruku
18390554,Cizz Cheesecake
18402718,Prima Rasa
18390004,Sushi Tei
18407025,Kalpa Tree
18389082,Bakso Cuangki dan Batagor Serayu
18051523,Maja House
18051540,Two Cents
18051519,Kampung Daun
18387860,Warung Kopi Purnama
18387795,Bistro Cafe - The Valley
18387817,Tizi's
18598278,Marka Cafe
18764005,Sama Dengan
18051524,Belle Vue - G.H. Universal Hotel
18400534,Glosis
18724759,Hi Brew Coffee
18402719,Jiganasuki
18387886,The 18th Restaurant & Lounge - The Trans Luxury Hotel
18051544,Iga Bakar Si Jangkung
18387878,LULA Bakery & Coffee
18713253,Kandang Ayam
18389166,KARE Curry House
18405892,Al Jazeerah Signature
18399888,Caffe Bene
18399799,Sate DJ
18389207,Dreezel Coffee
18387872,Old Ben's Garage & Coffee
18400799,Ayam Geprek Bebas
18439677,Bebek Ali Borme
18574996,Bolu Bakar Tunggal
18523822,Diskus Cafe & Bites
18474966,Sate Jando Gasibu
18406511,Swike Karanganyar
18389873,Sukha Delight
18406309,Herb & Spice
18389987,Bola Obi
18389899,Mujigae
18404865,Sejiwa Coffee
18387870,Mimiti Coffee & Space
18726166,Picknick
18499587,Orofi Cafe
18387834,Braga Art Cafe
18804725,Dasa Rooftop
18389191,DAKKEN
